id,image_path,question_type,question_prompt,gt_question,gt_answer,model_output
199,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(66).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is this an example of a tumorous brain scan?,There’s no abnormality in the image.,No tumor can be seen.
200,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(66).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Can you tell the type of tumor shown?,No tumor present.,No tumor present.
201,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(66).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Can you name the scan view type?,This is an axial view.,Axial type image.
202,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(67).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is there any abnormal growth in this MRI?,"No, there is no tumor present.",No growth is present.
203,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(67).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What kind of tumor is present in the image?,No tumor present.,No tumor present.
204,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(67).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the imaging perspective?,This is an axial view.,Axial type image.
205,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(68).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is there any abnormal growth in this MRI?,Tumor not found in this image.,"Yes, tumor identified."
206,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(68).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Can you tell the type of tumor shown?,No tumor present.,No tumor present.
207,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(68).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Identify the image orientation.,Coronal plane is shown.,Coronal perspective image.
208,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(69).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is there a tumor visible in this scan?,Tumor not found in this image.,No tumor can be seen.
209,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(69).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the classification of this tumor?,No tumor present.,No tumor present.
210,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(69).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Identify the image orientation.,Axial perspective image.,Axial plane is shown.
211,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(70).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Does this brain image contain a tumor?,The scan appears normal.,No tumor is detected here.
212,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(70).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What tumor subtype is this?,No tumor present.,No tumor present.
213,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(70).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the imaging perspective?,Orientation: axial.,Axial type image.
214,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(71).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is the scan indicating the presence of a tumor?,Tumor not found in this image.,No tumor is detected here.
215,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(71).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Which tumor type does this image show?,No tumor present.,No tumor present.
216,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(71).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the imaging perspective?,The image is axial.,Axial perspective image.
217,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(72).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is there a tumor visible in this scan?,"No, there is no tumor present.",No tumor is detected here.
218,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(72).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the detected tumor type?,No tumor present.,No tumor present.
219,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(72).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What image type is displayed here?,The image is axial.,Axial plane is shown.
220,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(73).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is there any abnormal growth in this MRI?,No tumor is detected here.,No tumor is detected here.
221,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(73).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Which tumor type does this image show?,No tumor present.,No tumor present.
222,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(73).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",In which direction is this MRI taken?,View type: axial.,Axial type image.
223,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(74).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Does this MRI show signs of a tumor?,No growth is present.,No tumor can be seen.
224,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(74).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What kind of tumor is present in the image?,No tumor present.,No tumor present.
225,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(74).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Which anatomical plane is used?,Axial plane is shown.,Axial type image.
226,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(75).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is there a tumor visible in this scan?,No tumor can be seen.,No tumor is detected here.
227,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(75).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Specify the tumor type visible here.,No tumor present.,No tumor present.
228,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(75).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the imaging perspective?,Orientation: axial.,Axial perspective image.
229,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(76).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Does this MRI image show a tumor?,No tumor is detected here.,No tumor can be seen.
230,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(76).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Specify the tumor type visible here.,No tumor present.,No tumor present.
231,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(76).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the view type of this image?,View type: axial.,Axial perspective image.
232,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(77).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is a tumor present in the scan provided?,No growth is present.,No tumor is detected here.
233,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(77).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Which tumor type does this image show?,No tumor present.,No tumor present.
234,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(77).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What kind of image view is this?,Axial slice is shown.,Axial perspective image.
235,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(78).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Does this MRI show signs of a tumor?,No tumor is detected here.,No tumor can be seen.
236,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(78).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What does the scan indicate as tumor type?,No tumor present.,No tumor present.
237,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(78).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the imaging perspective?,Orientation: axial.,Axial type image.
238,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(79).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Does this MRI show signs of a tumor?,There’s no abnormality in the image.,"Yes, tumor identified."
239,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(79).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the classification of this tumor?,No tumor present.,No tumor present.
240,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(79).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What kind of image view is this?,This is an axial view.,Axial perspective image.
241,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(80).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is a tumor present in the scan provided?,No tumor is detected here.,The image is tumor-free.
242,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(80).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the detected tumor type?,No tumor present.,No tumor present.
243,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(80).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the imaging perspective?,Axial plane is shown.,Axial type image.
244,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(81).jpg,tumor_presence,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Is there any abnormal growth in this MRI?,There’s no abnormality in the image.,No tumor is detected here.
245,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(81).jpg,tumor_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",Which tumor type does this image show?,No tumor present.,No tumor present.
246,/home/parthpk/NeuroChat//Brain Tumor MRI/Test/no_tumor/image(81).jpg,image_type,"{'prompt': '<|im_start|>system\nYou are a helpful assistant.<|im_end|>\n<|im_start|>user\n<|vision_start|><|image_pad|><|vision_end|>Provide short and direct answer for the user\'s question.What\'s the viewing angle here?\nGive the output in strict JSON format. {""answer"": ""ANSWER HERE""<|im_end|>\n<|im_start|>assistant\n', 'multi_modal_data': {'image': [<PIL.Image.Image image mode=RGB size=252x252 at 0x14D12786CE50>]}}",What is the view type of this image?,Axial plane is shown.,Axial plane is shown.
